ID,Authors,Title,Year,Source title,Volume,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Publisher,Language of Original Document,Abbreviated Source Title,Document Type
28,"Ray R., Majumder P., Khondekar M.H., Ghosh K., Bhattacharjee A.K.","Self-organized criticality, causality and correlation of probability of recurrence between daily mean temperature and dew point across India",2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049017031&doi=10.1109%2fICRCICN.2017.8234488&partnerID=40&md5=cc098c13c5dbdc431d100aaea613d40f,"Department of Electronics and Communication Engineering, Dr. B. C. Roy Engineering College, Durgapur, 713206, India; Department of Computer Science, Engineering NSHM Knowledge Campus, Durgapur, 713212, India; Department of Applied Electronics and Instrumentation Engineering, Dr. B. C. Roy Engineering College, Durgapur, 713206, India; Department of Mathematics, University Institute of Technology, University of Burdwan, Burdwan, 713104, India; Department of Electronics and Communication Engineering, National Institute of Technology, Durgapur, 713209, India","The temperature and dew point records of seven weather stations, located in India have been scrutinized under the self-organized criticality regime. The data models an almost ideal scaling behaviour as of the type of t/f? noise; with ??1. This scaling behaviour strongly suggests the presence of self-organized criticality (SOC) behind both the signals. To draw more insight into the detailed dynamics and to strengthen the explanation of such behaviour, causal relationship exploiting singularity spectrum analysis (SSA), multivariate singularity spectrum analysis (MSSA) and Correlation of Probability of Recurrence (CPR) based on recurrence plot have been studied in between the two signals for all the stations. The results reveal sufficient causal relationship and high correlation of probability of recurrence for strong support behind such critical dynamical systems. © 2017 IEEE.",Correlation of probability of recurrence (CPR); Indian Climate; Multivariate singularity spectrum analysis (MSSA); Self-organized criticality (SOC); Time series analysis,Artificial intelligence; Criticality (nuclear fission); Dynamical systems; Probability; Time series analysis; Causal relationships; Indian Climate; Mean temperature; Recurrence plot; Scaling behaviours; Self-organized criticality; Singularity spectrum; Weather stations; Spectrum analysis,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
29,"Bhattacharjee S., Singh Y.J., Ray D.",Comparative performance analysis of machine learning classifiers on ovarian cancer dataset,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049036463&doi=10.1109%2fICRCICN.2017.8234509&partnerID=40&md5=b79b4db3b759279184623e234a5d3e54,"National Institute of Electronics and Information Technology (NIELIT), Jadavpur University, Kolkata, India; Indian Institute of Technology, Indian School of Mines, Dhanbad, India","Machine learning classifiers help physicians to make near-perfect diagnoses, minimizing costs and time. Since medical data usually contains a high degree of uncertainty and ambiguity, proper ordering and classification require a proper comparative performance analysis of machine learning classifiers. Machine learning classifiers are applied on the Ovarian Cancer Dataset. Ovarian cancer is the fifth leading cause of cancer-related death among women, and is the deadliest of gynecological cancers. The mortality rate of ovarian cancer ranks first. Thus, early diagnosis and treatment are critical for improving the patients' cure rate and prolonging their survival. Here we have investigated Mass spectrometry (MS) field data to develop a computer-aided system for the purpose. Using machine learning techniques, data is classified in different categories to identify benign and malignant cancerous cells and a comparative study has been done to identify the most suitable technique under different operational conditions and datasets. Our Comparative studies show that the Multilayer Perceptron (MLP) is the best options for such detection considering its performance metrics such as Accuracy, Sensitivity, Specificity and Errors. © 2017 IEEE.",Biomarkers; Machine Learning; Mass spectrometry; Ovarian Cancer; Proteomics,Artificial intelligence; Biomarkers; Classification (of information); Diagnosis; Diseases; Mass spectrometry; Molecular biology; Patient treatment; Uncertainty analysis; Comparative performance analysis; Computer-aided systems; Degree of uncertainty; Machine learning techniques; Multi layer perceptron; Operational conditions; Ovarian cancers; Proteomics; Learning systems,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
30,"Datta J., Pan I., Bhattacharyya S.",TSLA: Turing based service level agreement assessment model over diverse cloud deployments,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049030707&doi=10.1109%2fICRCICN.2017.8234499&partnerID=40&md5=b34467c89b68117872eedd2c1b2c393d,"Dept. of Computer Application, RCCIIT, Kolkata, India; Dept. of Information Technology, RCCIIT, Kolkata, India",Cloud services are gaining popularity with times. Service level agreement (SLA) serves a basic understanding between the clients and cloud service providers (CSP). Ensuring secured and adequate service is a basic need of the customers. In this work a set of compliance parameters for cloud service level agreement is identified. A generic rule base is designed to empower the process with an automated model. Finally a Turing model has been developed for automated monitoring and assessment of service level agreement between cloud service provider and cloud client. This generic model is suitable for different cloud deployment models and attuned with WS-agreement set. © 2017 IEEE.,assessment; cloud client; cloud computing; cloud service provider; compliance; monitoring; service level agreement,Artificial intelligence; Cloud computing; Monitoring; assessment; Automated modeling; Automated monitoring; Cloud deployments; Cloud service providers; compliance; Service Level Agreement (SLA); Service Level Agreements; Distributed database systems,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
31,"Das R., Dutta S.",An approach for secured image encryption scheme using user defined operator based steganographic technique with pixels repositioning schemes,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048968008&doi=10.1109%2fICRCICN.2017.8234526&partnerID=40&md5=9db7d46cab3e26bbe55cb180959e62d7,"Department of Computer Applications, Haldia Institute of Technology, Haldia, India; Department of Computer Applications, Dr. B. C. Roy Engineering College, Durgapur, India","Steganography is the practice of concealing information of one object within other non secret object. We replace least significant bits from enveloped image with the bits of original image at the time of LSB based image steganography. This approach is not as secured as retrieving the least significant bits from the enveloped image will provide all the information of original image. So in the proposed system, we rearrange all the pixels of the original and the enveloped image using prime and non-prime positions of the pixels. Again we reposition all the pixels using one of the user defined pixel repositioning algorithms (PRONE (positional reverse odd normal even), PRENO (positional reverse even normal odd), CRENO (continuous reverse even normal odd), CRONE (continuous reverse odd normal even)) chosen by the user for original and enveloped image separately. Lastly we perform user defined BWMAS operation (Bitwise Masking & Alternate Sequence) between the bits of original image and the least significant bits of the enveloped image. As all the pixels of both enveloped and original images are repositioned, so the pixels from original image are chosen actually in non sequential manner and the pixels, taken from enveloped image for BWMAS operation are also in non sequential manner. Only the proper sequences of the encrypted pixels defined by the user defined algorithms are being able to retrieve the information of the original image. We introduce Bitwise Masking & Alternate Sequence operation for the first time in state of XOR operation. Thus an attempt is made to increase the security of the image encryption system. © 2017 IEEE.",Image Steganography; Pixel Repositioning Scheme; Prime/Non Prime pixel sequencing; User defined operator (BWMAS),Artificial intelligence; Cryptography; Image processing; Steganography; Image encryption scheme; Image encryptions; Image steganography; Least significant bits; Original images; Prime/Non Prime pixel sequencing; Sequential manners; User defined operator (BWMAS); Pixels,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
32,"Biswas S., Biswas S.",Password security system with 2-way authentication,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048993143&doi=10.1109%2fICRCICN.2017.8234533&partnerID=40&md5=f23917f3c5f5957b70bd985c4bae2373,"Computer Consultancy, Tata Consultancy Services, Calcutta, India; Software Engineering, BITS Pilani, Bangalore, India","This paper proposes a password security system that allows the host not to store the passwords of its users at its end. Instead it creates and stores a derivative of the password with the help of a bitmap image uploaded by the user during the user creation process. During the login attempts of users, the user is required to enter the password and upload the same image. the proposed system verifies if the image uploaded during login matches with the original image that was provided during user creation by comparing their pixel information. Then, the system derives the password from the image with the help of the stored derivative. Then, the derived password is matched with the password entered by the user. © 2017 IEEE.",2-way authentication; dual authentication; graphical authentication; image authentication; text password,Artificial intelligence; Network security; Security systems; Creation process; Dual authentications; Graphical authentications; Image authentication; Original images; Password security; Pixel information; Text password; Authentication,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
33,"Pahari P., Basak P., Sarkar A.",Biomarker detection on Pancreatic cancer dataset using entropy based spectral clustering,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049011026&doi=10.1109%2fICRCICN.2017.8234508&partnerID=40&md5=72895d761e2e11422db140d58156afcf,"School of Bioscience and Engineering, Jadavpur University, Kolkata-32, India; Computer Science and Engineering, Jadavpur University, Kolkata, India","Pancreatic ductal adenocarcinoma (PDAC) is one of most aggressive malignancy. The identification of Biomarker for PDAC is an ongoing challenge. The high dimensional PDAC gene expression dataset in Gene Expression Omnibus(GEO) database, is analyzed in this work. To select those genes which are relevant as well as with least redundancy among them, we use successive approaches like Filter methods and Normalization phase. In this work, after pre-processing of the data, we have used three types of spectral clustering methods, Unnormalized, Ng-Jordan and proposed entropy based Shi-Malik spectral clustering algorithms to find important genetic and biological information. There we have applied new Shannon's Entropy based distance measure to identify the clusters on Pancreatic dataset. Some Biomarkers are identified through KEGG Pathway analysis. The Biological analysis and functional correlation of genes based on Gene Ontology(GO) terms show that the proposed method is helpful for the selection of Biomarkers. © 2017 IEEE.",biomarker identification; gene expression dataset; Pancreatic cancer; Shannon entropy; spectral clustering,Artificial intelligence; Bioinformatics; Biomarkers; Data handling; Diseases; Gene expression; Biological information; Biomarker identification; Functional correlation; Pancreatic cancers; Shannon entropy; Spectral clustering; Spectral clustering algorithms; Spectral clustering methods; Clustering algorithms,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
34,"Vipani R., Hore S., Basak S., Dutta S.",Gait signal classification tool utilizing Hilbert transform based feature extraction and logistic regression based classification,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048999457&doi=10.1109%2fICRCICN.2017.8234481&partnerID=40&md5=0c3606c0c540c07d581f2e8edde77c1a,"Department of Electrical Engineering, Heritage Institute of Technology, Kolkata, India; Department of Electrical Engineering, Jadavpur University, Kolkata, India","In this paper, we have employed a machine learning approach for automatic classification of healthy and pathological gait signals and subsequent identification of the neurological disorder in the pathological gait signals. The machine learning algorithm we have proposed is the Logit model of the Logical Regression Classifier. As the process of walking is automatically controlled by the nervous system it is important to develop a non-invasive method so that patients with serious neurological disorders like Huntington's disease and Parkinson's disease receive early medical attention and they get proper care before they are more affected. Swing, Stance and double support intervals (expressed as percentages of stride) of 63 subjects were analyzed. In this paper, a relevant gait signal feature extractor is developed which is combined with Logistic Regression Classifier to classify healthy subjects and pathological subjects. Analysis of real-time gait signals is simplified using the Hilbert Transform which converts the real signals into an analytic signal. The proposed algorithm was developed using the MATLAB platform and the average accuracy of multiclass classification is found to be 86.05% while the accuracy of detecting healthy subjects from pathological subjects is 87.79% and the accuracy of classifying subjects having the Huntington's disease and Parkinson's disease is found to be 85.22%. © 2017 IEEE.",Feature Extraction; Gait Signals; Hilbert Transform; Logistic Regression Classifiers; Multi-class Classification,Artificial intelligence; Extraction; Feature extraction; Learning algorithms; Learning systems; Mathematical transformations; Neurodegenerative diseases; Neurology; Noninvasive medical procedures; Regression analysis; Automatic classification; Hilbert transform; Logistic regression classifier; Logistic regressions; Machine learning approaches; Multi-class classification; Neurological disorders; Signal classification; Classification (of information),Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
35,"Mishra D.K., Panigrahi T.K., Mohanty A., Ray P.K.",Multi-area interconnected automatic generation control with IPFC and TDOFPID controller,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048953806&doi=10.1109%2fICRCICN.2017.8234521&partnerID=40&md5=349eed400903c4833a6a5a794688eea6,"Department of Electrical Engineering, IIIT, Bhubaneswar, India; Department of Electrical Engineering, CET, Bhubaneswar, India","Present work introduces a most popular evolution based algorithm and applied in two degree of freedom proportional integral Derivative (TDOFPID) Controller based multi area power system. Differential Evolution (DE) optimization technique is applied here to tune the TDOFPID gains. In each area of system consists of Automatic generation control with addition of non-linarites. In this model time delay, Generation rate constraints (GRC) and reheat turbine is added to make non-linearity. At first attempt simulation is being done in two area with DE optimistion technique. Next attempt a series connected Flexible Alternating Current Transmission (FACT) device such as Interline Power Flow Control (IPFC) is included into the system and simulated. DE is also used to get the optimum value of TDOFPID controller having Integral time absolute error (ITAE) has been the objective function. At last robustness analysis is done with varying parameter and different loading conditions. It is seen that, TDOFPID with IPFC gives better response compared to others. © 2017 IEEE.",Automatic Generation Control (AGC); differential evolution (DE); DisCo; GenCo; Generation rate Constraints (GRC; Integral Time Absolute Error (ITAE); Interline Power Flow Control (IPFC); Two Degree of Freedom Proportional Integral Derivative (TDOFPID),Artificial intelligence; Degrees of freedom (mechanics); Delay control systems; Electric load flow; Electric power transmission; Evolutionary algorithms; Flow control; Optimization; Power control; Proportional control systems; Two term control systems; Automatic generation control; Differential Evolution; DisCo; GenCo; Generation rate constraints; Integral time absolute errors; Power flow controls; Proportional integral derivatives; Controllers,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
36,"Roy P.K., Parai K., Ball S., Kumar B.",A new enhanced secure anonymous communication with authentication and session key agreement in global mobility network,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047527510&doi=10.1109%2fICRCICN.2017.8234490&partnerID=40&md5=0ce82454deb87c3f06558aded48c4de9,"Siliguri Institute of Technology, Siliguri, India; IBM India Private Limited, Bengaluru, India","Recently, several protocols have been proposed to accomplish user authenticity with proper session key establishment in Global Mobility Network. Unfortunately, some of them still suffer from various security threats and high computational complexity. This article demonstrates a new enhanced two-factor authentication scheme for secure anonymous communication to mutually authenticate the communicating parties and to establish a proper session key between them. The major contributions of this article are 1) to achieve all kind of security goals and 2) to effectively reduce the computational complexity. The underlying construction is developed using Elliptic Curve Cryptography (ECC) along with light-weight processes to ensure the resistibility against well-known security threats and improved computational complexity. The protocol is implemented using HLPSL and formally validated using AVISPA to ensure that it has the ability to withstand several attacks. We have also compared the computational complexity of our protocol with some existing protocols to prove its efficiency. © 2017 IEEE.",Roaming Services; Security; Session Key Agreement; User Anonymity; User Authentication,Artificial intelligence; Authentication; Complex networks; Computational complexity; Public key cryptography; Security systems; Roaming services; Security; Session key agreements; User anonymity; User authentication; Network security,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
37,"Sasmal S., Pan I.",Mutual auditing framework for service level security auditing in cloud,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048947006&doi=10.1109%2fICRCICN.2017.8234524&partnerID=40&md5=e67cdde470f7cc81194bc939ecb0a797,"Department of Information Technology, Techno India, Salt-Lake Kolkata, India; Department of Information Technology, RCC Institute of Information Technology, Kolkata, India","Cloud computing technology is gaining rapid growth in popularity. Mostly it is web based service and some private modules are built on intranet or virtual private network. Network security is a major concern for both cloud users and hosts of data centers. In addition to this, clients are also concerned about the infrastructure and service quality offered by cloud service providers. Cloud service providers equally need to monitor clients' activities and applications running in the client terminals. This paper presents a mutual auditing framework in client-server mode. This interactive framework will keep track of different service modules from both end and will establish a mutual agreement of trust. Proposed framework has been tested on CloudSim and Xen hypervisor under different scale, scope and complexity. Experimental results show effectiveness and efficacy of the framework. © 2017 IEEE.",audit policy; client-server; cloud computing; roll back mechanism; service auditing,Artificial intelligence; Cloud computing; Distributed database systems; Internet service providers; Audit policy; Client server; Cloud computing technologies; Cloud service providers; Different services; Roll back; service auditing; Web-based service; Network security,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
38,"Das P., Naskar S.K., Patra S.N.",Adaptive global best steered Cuckoo search algorithm for FIR filter design,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049027157&doi=10.1109%2fICRCICN.2017.8234474&partnerID=40&md5=4536d6fb7cfdbd7d4de66190d16d2d0c,"Dept. of CSE, Jadavpur University, Kolkata, India; Dept. of Instrumentation Science, Jadavpur University, Kolkata, India","In this paper, we propose design of even order low pass FIR filter and odd order bandpass FIR filter using coefficients optimized by an adaptive Global Best steered Cuckoo Search Algorithm (gbest CSA). For optimization, we use a mean square error based cost function as the fitness function. We evaluated the efficacy of the proposed technique by comparing the filter responses with responses of the filters designed using standard Cuckoo Search Algorithm and traditional technique of filter design with Parks McClellan algorithm. Efficacy of the proposed algorithm compared to the conventional CSA is proved using seven standard benchmark functions. © 2017 IEEE.",Bandpass Filter; Cuckoo Search; Filter Coefficient; Finite Impulse Response Filter; Global Best; Lowpass Filter,Artificial intelligence; Bandpass filters; Cost functions; Impulse response; Learning algorithms; Low pass filters; Mean square error; Optimization; Benchmark functions; Cuckoo search algorithms; Cuckoo searches; Filter coefficients; FIR filter design; Global bests; Parks-McClellan algorithm; Traditional techniques; FIR filters,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
39,"Saha T., Sengupta S., Dasgupta T.",Chaotic cipher based spatial domain steganography with strong resistance against statistical attacks,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048987891&doi=10.1109%2fICRCICN.2017.8234536&partnerID=40&md5=d0dfeb80edab6b3cd12ce6c3a74f4975,"Department of Electronics and Communication Engineering, Techno India University, West-Bengal, India; Department of Electrical Engineering, Jadavpur University, Kolkata, India","Steganography is a form of secret communication in which a secret message (text, image) is hidden inside a carrier message (text, image). While in cryptography, the goal is to make everything unreadable to the ones who do not know the password, in steganography, on the other hand, the goal is to camouflage a message inside an apparently innocent carrier. In other words, while cryptography conceals the message itself, steganography conceals the existence of the message. Since, this form of communication potentially attracts unsavoury people to secretly hide messages in plain sight, there have been many efforts on different fronts to detect the possibility of the existence of steganography in images and other multimedia objects. Most of such algorithms use different statistical analysis based attacks for detecting potential cases of steganography. In light of this, the present methodology demonstrates the development of a set of algorithms designed to implement a spatial domain steganography technique that is capable of withstanding such attacks. The merits of the present methodology has also been assessed quantitatively. © 2017 IEEE.",chaotic systems; cryptography; mathematical morphology; Shannon entropy; Steganography,Artificial intelligence; Chaotic systems; Cryptography; Mathematical morphology; Chaotic ciphers; Multimedia object; Secret communications; Secret messages; Shannon entropy; Spatial domain steganography; Statistical attacks; Steganography,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
40,"Barman A., Dutta P.",Facial expression recognition using shape signature feature,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049037770&doi=10.1109%2fICRCICN.2017.8234502&partnerID=40&md5=5c5999935535fabd499fe030ce66edc1,"Dept. of Computer Science and Engineering and Information Technology, Siliguri Institute of Technology, Siliguri, India; Dept. of Computer and System Sciences, Visva-Bharati University, Santiniketan, India","In this paper, we propose a novel framework for expression recognition by using salient landmarks induced shape signature. Detection of effective landmarks is achieved by appearance based models. A grid is formed using the landmark points and accordingly several triangles within the grid on the basis of a nose landmark reference point are formed. Normalized shape signature is derived from grid. Stability index is calculated from shape signature which is also exploited as significant feature to recognize the facial expressions. Statistical measures such as range, moment, skewness, kurtosis and entropy are used to supplement the feature set. This enhanced feature set is fed into Multilayer Perceptron (MLP) and Nonlinear AutoRegressive with eXogenous (NARX) to differentiate the expressions into different categories. We investigated our proposed system on Cohn-Kanade (CK+), JAFFE, MMI and MUG benchmark databases to conduct and validate our experiment and established its performance superiority over other existing competitors. © 2017 IEEE.",Feature classification; Feature extraction; Grid; MLP; NARX; Shape signature; Stability index,Artificial intelligence; Benchmarking; Feature extraction; Higher order statistics; Feature classification; Grid; NARX; Shape signatures; Stability indices; Face recognition,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
41,"Manna S., Prajapati M., Sett A., Banerjee K., Dutta S.",Design and implementation of a two-layered hybrid cryptosystem,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048949192&doi=10.1109%2fICRCICN.2017.8234529&partnerID=40&md5=43d9673040841ccb7189c166ecd93202,"Department of Computer Science, Ramakrishna Mission, Vidyamandira Belur Math, Howrah, India; Department of Computer Application, Dr. B. C. Roy Engineering College, Durgapur, India","A two-layered hybrid cryptosystem is proposed here. In symmetric key cryptosystem, the shared key is sent over a channel to the receiver. If an encrypted shared key is sent, the chance of intercepting the original key is reduced to some extent. So a hybrid cryptosystem is introduced here which is a combination of both asymmetric key and symmetric key cryptosystem. In the proposed technique, the encryption of the shared key is done using RSA algorithm by receiver's public key. Then the plain text is encrypted using the shared key to form the cipher text. The cipher text along with the encrypted shared key is sent to the receiver. The encrypted shared key is decrypted by the receiver using his or her private key. After that, using the decrypted key, the plain text is recovered by the receiver. Advantage of the proposed cryptosystem is that even if the shared key is intercepted during transmission, it is not the original shared key. The proposed technique can be implemented with files of any type. © 2017 IEEE.",Asymmetric Key Cryptosystem; Cipher text; Hybrid Cryptosystem; Plaintext; Private Key; Public Key; Symmetric Key Cryptosystem,Artificial intelligence; Asymmetric key; Ciphertexts; Hybrid cryptosystem; Plaintext; Private key; Public keys; Symmetric-key cryptosystem; Public key cryptography,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
42,"Vishnu D., Mukherjee G., Chatterjee A.",A computer vision approach for grade identification of rice bran,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049009304&doi=10.1109%2fICRCICN.2017.8234473&partnerID=40&md5=a86858094ced2b89b0404f07c448ccd5,"Dept. of Printing Engineering, Jadavpur University, Kolkata, India; Dept. of Master of Computer Application, Regent Education and Research Foundation, Kolkata, India","Inspection of food quality is an important operation in food and agro industries. Nowadays computer vision is frequently used for such operations as it can provide fast, economical, non-invasive, consistent and objective assessment. This paper presents a study on identifying the qualitative grades of rice bran using computer vision. The study is performed using three samples of rice bran collected from rice mills along with their test reports to confirm their qualitative difference. The images of individual samples were captured in a controlled illumination environment. The image features were extracted from the cropped images after the required color conversion. The constructed feature sets were subjected to principle component analysis (PCA) for observing the cluster formation and also the K-Means cluster analysis to derive the cluster centers. The clustering analysis results show the potential of the presented method for identification of rice bran grades. © 2017 IEEE.",cluster analysis; color features; computer vision; rice bran identification,Artificial intelligence; Cluster analysis; Principal component analysis; Cluster formations; Clustering analysis; Color features; K-means cluster analysis; Objective assessment; Principle component analysis; Qualitative differences; Rice brans; Computer vision,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
43,"Kar M., Mandal M.K., Nandi D.",RGB image encryption using hyper chaotic system,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048954378&doi=10.1109%2fICRCICN.2017.8234534&partnerID=40&md5=45d9d0b2f1e1b8de026cb8a98e0d3f81,"Department of Physics, National Institute of Technology Durgapur, Durgapur, 713209, India; Department of Computer Science and Engineering, National Institute of Technology Durgapur, Durgapur, 713209, India","In the modern digital era, the storage of digital data in multi-users systems and transmission over the internet is prime important in the society. The cryptographic technique is one of the possible solutions for protecting digital information for unauthorized uses. In this technique, the encryption algorithm should be simple to design and implementation. In the proposed article, a novel color image encryption algorithm is presented employing a 4D Lorenz system. The encryption technique is very sensitive to the input 256 bits key and input plane image. Initially, the color image is split into three different channels R, G, and B. Next each channel is encrypted separately by employing diffusion and confusion mechanism. Finally, all three channels R, G, and B are combined to produce the required encrypted image. Various security tests have been conducted to prove the validity of the presented encryption technique. The encryption time was considerably less as compared to other reported works. © 2017 IEEE.",chaos; decryption; encryption; information entropy; noise attack; NPCR & UACI,Artificial intelligence; Chaos theory; Chaotic systems; Digital storage; Image processing; Color image encryptions; Cryptographic techniques; decryption; Design and implementations; Encryption algorithms; Hyper-chaotic systems; Information entropy; noise attack; Cryptography,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
44,"Das P., Saha S.",A novel SFLA based method for gene expression biclustering,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049016941&doi=10.1109%2fICRCICN.2017.8234506&partnerID=40&md5=3638ca2d11e8adc0d7a24cfdafcefb86,"Department of Computer Science and Engineering, National Institute of Technology Calicut, Kerala, 673601, India; Department of Computer Science and Engineering, Heritage Institute of Technology KolkataWest Bengal  700107, India","Form the time of its invention, microarray technology is continuously growing and has been taking major role in biological research. This technology generates huge amount of gene expression data for biological analysis. Parallel computation methods are required to find functional associations from this large amount of biological data. An unsupervised machine learning technique, clustering algorithm groups similar genes based on entire conditions. But normal clustering methods cannot find different cellular processes from gene expression data because a biological activity can start functioning in the presence of some specific conditions. So, biclustering techniques are used instead of normal clustering. Biclustering basically identifies a set of genes that are co-expressed for some specific experimental conditions. Here we introduce an improved shuffled frog leaping algorithm(SFLA) based approach to find biclusters. SFLA is a hybrid of evolutionary memetic algorithm and collective intelligence based particle swarm optimization algorithm. Also It has faster convergence speed. By applying the proposed algorithm on yeast (Saccharomyces cerevisiae) cell cycle dataset, large number of biologically significant biclusters are obtained, which are verified by gene ontology database, compared to other existing algorithms. Also the biclusters have small MSR value and large size. © 2017 IEEE.",Biclustering; Gene Expression Data; Gene Ontology; Microarray; Shuffled Frog Leaping Algorithm,Artificial intelligence; Bioactivity; Gene expression; Learning systems; Microarrays; Particle swarm optimization (PSO); Yeast; Bi-clustering; Collective intelligences; Gene Expression Data; Gene ontology; Improved shuffled frog leaping algorithms; Particle swarm optimization algorithm; Shuffled frog leaping algorithm (SFLA); Unsupervised machine learning; Clustering algorithms,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
